"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Holmesglen, Holmesglen Institute, Chadstone Campus","c(-37.8755, 145.092)","ELICOS","00012G","Holmesglen Institute","Holmesglen, Holmesglen Institute","Chadstone Campus","No","0.8","International student data 14/01/2018",145.092,-37.8755,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Department of Education and Training, Victoria","c(-37.8142, 144.974)","All sectors","00861K","Department of Education and Training","Department of Education and Training","Department of Education & Training (Victoria)","No","0.9","International student data 14/01/2018",144.974,-37.8142,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Navitas College of Public Safety (NCPS)","c(-37.8177, 144.966)","All sectors","01945J","Navitas College of Public Safety Pty Ltd","Navitas College of Public Safety Pty Ltd,Navitas College of Public Safety Pty Ltd","Navitas College of Public Safety Pty Ltd","No","0.4","International student data 14/01/2018",144.966,-37.8177,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Job Training Institute, Dandenong Campus","c(-37.9871, 145.215)","All sectors","03373B","Job Training Institute Pty Ltd","Job Training Institute Pty Ltd,Level 5 Plaza Business Centre Dandenong","Job Training Institute Pty Ltd,Level 5 Plaza Business Centre Dandenong, Level 5 Plaza Business Centre Dandenong","No","0.6","International student data 14/01/2018",145.215,-37.9871,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Monash University, City Campus","c(-37.8167, 144.965)","Higher Education","00008C","Monash University (Monash)","Monash University","Monash City","No","0.4","International student data 14/01/2018",144.965,-37.8167,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Careers Education, Victoria Street Campus","c(-37.7664, 144.958)","All sectors","03219A","Australian Careers Education Pty. Ltd.","Australian Careers Education","Australian Careers Education, 347-351 Victoria Street","No","0.6","International student data 14/01/2018",144.958,-37.7664,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Melbourne Polytechnic, Brunswick Campus","c(-37.8525, 144.998)","Higher Education","00724G","Melbourne Polytechnic","Melbourne Polytechnic","Melbourne Polytechnic, 144 High St Prahran","No","0.4","International student data 14/01/2018",144.998,-37.8525,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Hospitality Management Institute of Australia","c(-37.801, 144.898)","All sectors","02741B","Technical Education Australia Pty Ltd","Hospitality Management Institute of Australia, Business College of Australia","Hospitality Management Institute of Australia, Business College of Australia, Suite 40, Metrowest Plaza, 27 Albert Street, Footscray  VIC  3011","No","0.4","International student data 14/01/2018",144.898,-37.801,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Angad Australian Institute of Technology, La Trobe st Campus","c(-37.8125, 144.954)","VET","02970M","Angad Australian Institute of Technology Pty Ltd","Angad Australian Institute of Technology Pty Ltd,Level 5, 501 LaTrobe Street, Melbourne VIC  3000","Angad Australian Institute of Technology Pty Ltd,Level 5, 501 LaTrobe Street, Melbourne VIC  3000, Level 5, 501 LaTrobe Street, Melbourne VIC  3000","No","0.4","International student data 14/01/2018",144.954,-37.8125,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Barkly International College","c(-37.7937, 144.938)","All sectors","03136D","Barkly International College Pty. Ltd.","Barkly International College","Mark Street","No","0.4","International student data 14/01/2018",144.938,-37.7937,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Lonsdale Institute, Eurocentres Melbourne","c(-37.8171, 144.965)","VET","02836F","Lonsdale Institute Pty Ltd","Lonsdale Institute Pty Ltd","Lonsdale Institute Pty Ltd, Level 5, 277 Flinders Lane","No","0.7","International student data 14/01/2018",144.965,-37.8171,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Global Business College Of Australia ","c(-37.8111, 144.959)","VET","03443D","Global Business College Of Australia Pty Ltd","Global Business College Of Australia Pty Ltd","Global Business College Of Australia Pty Ltd, Level 2 337 La Trobe Street","No","0.6","International student data 14/01/2018",144.959,-37.8111,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Holmesglen, Holmesglen Institute, City Campus","c(-37.8299, 144.971)","All sectors","00012G","Holmesglen Institute","Holmesglen, Holmesglen Institute","City Campus","No","0.4","International student data 14/01/2018",144.971,-37.8299,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Melbourne Rudolf Steiner Seminar","c(-37.7762, 145.245)","All sectors","01812M","Melbourne Rudolf Steiner Seminar Limited","Melbourne Rudolf Steiner Seminar Limited,Melbourne Rudolf Steiner Seminar Limited","Melbourne Rudolf Steiner Seminar Limited","No","0.7","International student data 14/01/2018",145.245,-37.7762,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Institute of Health and Nursing Australia","c(-37.7472, 145.058)","VET","03386G","Health Careers International Pty Ltd","Institute of Health and Nursing Australia","Institute of Health and Nursing Australia, 597-599 Upper Heidelberg Rd","No","0.4","International student data 14/01/2018",145.058,-37.7472,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"RMIT English Worldwide","c(-37.8135, 144.966)","ELICOS","01912G","RMIT Training Pty Ltd","RMIT English Worldwide","RMIT English Worldwide, RMIT English Worldwide 235 - 251 Bourke Street","No","1.2","International student data 14/01/2018",144.966,-37.8135,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Everest Institute of Education","c(-37.6673, 145.011)","VET","03374A","Everest Institute of Education Pty Ltd","Everest Institute of Education Pty Ltd,Lalor, 34 Robert Street","Everest Institute of Education Pty Ltd,Lalor, 34 Robert Street, Lalor, 34 Robert Street","No","0.4","International student data 14/01/2018",145.011,-37.6673,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Education Academy ,10 Blissington Street, Springvale","c(-37.9338, 145.152)","All sectors","02633F","Australian Education Academy Pty Ltd","Australian Education Academy Pty Ltd,10 Blissington Street, Springvale","Australian Education Academy Pty Ltd,10 Blissington Street, Springvale, 10 Blissington Street, Springvale","No","0.4","International student data 14/01/2018",145.152,-37.9338,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"William Angliss Institute","c(-37.8131, 144.953)","Higher Education","01505M","William Angliss Institute of TAFE","William Angliss Institute","William Angliss Institute of TAFE","No","2","International student data 14/01/2018",144.953,-37.8131,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"AAPoly, AMI Education","c(-37.8164, 144.955)","Higher Education","02439G","Academies Australasia Polytechnic Pty Limited","AAPoly, AMI Education","AAPoly, AMI Education, Level G, 1, 7 & 8, 628 Bourke Street, Melbourne","No","1.6","International student data 14/01/2018",144.955,-37.8164,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"St. Peters Institute","c(-37.816, 144.963)","All sectors","03167G","Angel United Group Pty. Ltd.","St. Peters Institute","St. Peters Institute, Level 4, 416-147, 373 Little Collins St, Melbourne","No","0.4","International student data 14/01/2018",144.963,-37.816,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Greenwich English College, Melbourne","c(-37.8183, 144.954)","All sectors","02672K","Greenwich English College Pty Ltd","Greenwich English College, Greenwich Management College","Greenwich English College, Greenwich Management College, Level 8 120 Spencer St","No","1.1","International student data 14/01/2018",144.954,-37.8183,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Della International College, City Campus","c(-37.8096, 144.959)","VET","02716C","Della International College Pty Ltd","Della International College Pty Ltd","Della International College Pty Ltd","No","0.8","International student data 14/01/2018",144.959,-37.8096,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Orange International College","c(-37.8171, 144.96)","VET","03446A","ORANGE INTERNATIONAL COLLEGE PTY LTD","Orange International College","Collins Street Melbourne","No","0.8","International student data 14/01/2018",144.96,-37.8171,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Holmesglen, Holmesglen Institute, Waverley Campus","c(-37.8875, 145.153)","VET","00012G","Holmesglen Institute","Holmesglen, Holmesglen Institute","Waverley Campus","No","0.8","International student data 14/01/2018",145.153,-37.8875,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"The University of Melbourne","c(-37.797, 144.965)","All sectors","00116K","The University of Melbourne (UniMelb)","The University of Melbourne (UniMelb),The University of Melbourne","The University of Melbourne","No","0.4","International student data 14/01/2018",144.965,-37.797,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Baxter Institute, Fabrication campus","c(-37.8002, 144.941)","All sectors","02233M","Sheila Baxter Training Centre Pty Ltd","Baxter Institute","Baxter Institute, 201 Arden Street, 201 Arden Street","No","1","International student data 14/01/2018",144.941,-37.8002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Academia International, Melbourne Campus","c(-37.8143, 144.964)","All sectors","02634E","Australian Academy of Vocational Education and Trades Pty Ltd","Academia International & Academia Australia","Academia International & Academia Australia, Academia Melbourne, 152 Elizabeth St, Melbourne","No","0.4","International student data 14/01/2018",144.964,-37.8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"AAPoly, Melbourne Campus","c(-37.8055, 144.963)","All sectors","02439G","Academies Australasia Polytechnic Pty Limited","AAPoly, AMI Education","Swanston Street","No","1.2","International student data 14/01/2018",144.963,-37.8055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"AOI Institute","c(-37.812, 144.97)","VET","02679C","Australian Online Institute Pty Ltd","AOI Institute","AOI Institute, 108 Bourke Street","No","0.4","International student data 14/01/2018",144.97,-37.812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Australian Academy of Fashion Design","c(-37.8006, 144.985)","Higher Education","02201G","Academy of Design Australia Limited","Academy of Design Australia","Academy of Design Australia Limited","No","0.4","International student data 14/01/2018",144.985,-37.8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Australian Careers Education, Donald Street Campus (Aurora Building)","c(-37.759, 144.978)","VET","03219A","Australian Careers Education Pty. Ltd.","Australian Careers Education","Donald Street","No","0.9","International student data 14/01/2018",144.978,-37.759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Australian College of Applied Psychology, ACAP - Melbourne Campus","c(-37.8175, 144.964)","All sectors","01328A","Navitas Professional Institute Pty Ltd","Australian College of Applied Psychology, Navitas College of Public Safety","NPI Pty Ltd (ACAP, NCPS) Melbourne Campus","No","0.4","International student data 14/01/2018",144.964,-37.8175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Australian College of Sport, Basketball, Melbourne Campus","c(-37.8394, 144.967)","All sectors","03052G","Golf Education Australia Pty Ltd","Australian College of Sport","Australian College of Sport, 1 Aughtie Drive, Albert Park, VIC 3206","No","0.4","International student data 14/01/2018",144.967,-37.8394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Australian College of Sport, Basketball, Melbourne Campus","c(-37.8251, 144.972)","VET","03071E","Australian Learning Group Pty Ltd","Australian College of Sport & Fitness, Australian College of Dance, NSW School of Massage, Learn Australia Direct","Australian Learning Group - Melbourne University Campus","No","0.4","International student data 14/01/2018",144.972,-37.8251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Australian College of Trade, Thornbury Campus","c(-37.7548, 145.001)","All sectors","03082B","Australian College of Trade Pty Ltd","Australian College of Trade Pty Ltd","Australian College of Trade Pty Ltd","No","0.6","International student data 14/01/2018",145.001,-37.7548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Australian Institute of Translation & Interpretation (AITI), Melbourne Campus","c(-37.8182, 144.962)","VET","02692F","Australian Institute of Translation and Interpretation Pty Ltd","Australian Institution of T & I","Australian Institution of T & I, Level 8, 20 Queen Street, MELBOURNE","No","0.8","International student data 14/01/2018",144.962,-37.8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"Australian Institute of Technical Training  (AITT), Melbourne Campus","c(-37.8193, 144.958)","All sectors","02868J","Australian Institute of Technical Training Pty Ltd","Australian Institute of Technical Training Pty Ltd","Australian Institute of Technical Training Pty Ltd, 3A, 475 Flinders Lane","No","0.8","International student data 14/01/2018",144.958,-37.8193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Australian IT & Hospitality Institute, Footscray Campus","c(-37.8006, 144.896)","VET","02254F","MACQUARIE INSTITUTE OF EDUCATION & TRAINING.","International Institute for Professional Development","Footscray","No","0.7","International student data 14/01/2018",144.896,-37.8006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALTEC College, Melbourne Campus","c(-37.8371, 144.976)","All sectors","02926D","Pass Global Pty Ltd","Australian Learning, Training & Education Centre","Pass Global Pty Ltd","No","1.1","International student data 14/01/2018",144.976,-37.8371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Australian National College, Franklin Street Campus","c(-37.8078, 144.961)","All sectors","03009M","Australian National College Pty Ltd","Australian National College Pty Ltd","Franklin Street","No","1.7","International student data 14/01/2018",144.961,-37.8078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"Australian National Institute of Business & Technology (ANIBT), Melbourne Campus","c(-37.7688, 144.959)","All sectors","02506B","Australian National Institute of Business & Technology Pty Ltd","Australian National Institute of Business & Technology","Brunswick - Hospitality","No","0.9","International student data 14/01/2018",144.959,-37.7688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0
"Australian National Institute of Business & Technology (ANIBT), Melbourne Campus","c(-37.8199, 144.958)","VET","02506B","Australian National Institute of Business & Technology Pty Ltd","Australian National Institute of Business & Technology","Australian National Institute of Business & Technology Pty Ltd","No","0.4","International student data 14/01/2018",144.958,-37.8199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0
"Australian Pacific College, Melbourne Campus","c(-37.8125, 144.961)","All sectors","01331F","Young Rabbit Pty Ltd","Australian Pacific College, Southern Cross High School, English Unlimited Sydney, English Unlimited Melbourne","Australian Pacific College, Southern Cross High School, English Unlimited Sydney, English Unlimited Melbourne, Level 4 398 Lonsdale Street","No","1.1","International student data 14/01/2018",144.961,-37.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"AVETA - Australian Vocational Education & Training Academy","c(-37.8177, 144.962)","VET","02826G","SRAGILL Pty Ltd","AVETA - Australian Vocational Education & Training Academy","AVETA - Australian Vocational Education & Training Academy, 51 Queen Street","No","0.4","International student data 14/01/2018",144.962,-37.8177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"Baxter Institute, Hairdressing and Beauty Campus (Flinders Street)","c(-37.8161, 144.971)","VET","02233M","Sheila Baxter Training Centre Pty Ltd","Baxter Institute","Baxter Institute, 100 Flinders Street","No","1.5","International student data 14/01/2018",144.971,-37.8161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
"Baxter Institute, Hairdressing and Beauty Campus (Flinders Street)","c(-37.8164, 144.97)","All sectors","02233M","Sheila Baxter Training Centre Pty Ltd","Baxter Institute","Baxter Institute, 134 Flinders Street","No","0.4","International student data 14/01/2018",144.97,-37.8164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0
"Beaconhills College","c(-38.0624, 145.471)","All sectors","03182J","Beaconhills Christian College Ltd","Beaconhills College","Beaconhills Christian College Ltd","Yes","0.6","International student data 14/01/2018",145.471,-38.0624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Bendigo TAFE, Bendigo","c(-36.7563, 144.284)","All sectors","01218G","Bendigo Kangan Institute","Bendigo TAFE; and Kangan Institute","Bendigo","Yes","0.4","International student data 14/01/2018",144.284,-36.7563,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Biba Academy, Swantson street Campus","c(-37.7989, 144.983)","All sectors","01709K","Biba Academy of Hair & Beauty Pty Ltd","Biba Academy of Hairdressing","Biba Academy of Hair & Beauty Pty Ltd","No","0.4","International student data 14/01/2018",144.983,-37.7989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"Brighton Institute of Technology","c(-37.8143, 144.962)","VET","02552G","Brighton Educational Services Pty Ltd","Brighton Institute of Technology","Bourke Street","No","0.6","International student data 14/01/2018",144.962,-37.8143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"Central Australian College (CAC), Melbourne Campus","c(-37.8009, 144.884)","VET","03217C","Central Australian Institute of Technology Pty Ltd","Central Australian College","Central Australian Institute of Technology Pty Ltd","No","1","International student data 14/01/2018",144.884,-37.8009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Box Hill Institute, City Campus","c(-37.8169, 144.966)","Higher Education","02411J","Box Hill Institute","Box Hill Institute","City Campus","No","0.4","International student data 14/01/2018",144.966,-37.8169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
"Collarts - Australian College of the Arts","c(-37.8263, 144.943)","Higher Education","03392K","Australian College of the Arts Pty Ltd","Collarts","Collarts, 55 Brady St, South Melbourne, VIC","No","0.4","International student data 14/01/2018",144.943,-37.8263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0
"Della International College, Sunshine Campus","c(-37.7808, 144.828)","All sectors","02716C","Della International College Pty Ltd","Della International College Pty Ltd","Sunshine Campus","No","0.6","International student data 14/01/2018",144.828,-37.7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"East West College Of Natural Therapies","c(-37.8951, 145.021)","All sectors","02394E","Shiatsu Australia Educational Services Pty Ltd","East West College","Shiatsu Australia Educational Services Pty Ltd","No","0.4","International student data 14/01/2018",145.021,-37.8951,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Education Access Australia","c(-37.8074, 144.944)","All sectors","02450B","Education Access (Australia) Pty Ltd","Education Access Australia","Abbotsford Street","No","0.7","International student data 14/01/2018",144.944,-37.8074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0
"Education Training & Employment Australia, ETEA","c(-37.756, 145.066)","VET","02925E","Education Training & Employment Australia Pty Ltd","Education Training & Employment Australia Pty Ltd","Education Training & Employment Australia Pty Ltd","No","0.6","International student data 14/01/2018",145.066,-37.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"Elly Lukas Beauty Therapy College","c(-37.8177, 144.963)","All sectors","01867G","Australian Education Group Pty Ltd","Elly Lukas Beauty Therapy College","Australian Education Group Pty Ltd","No","0.4","International student data 14/01/2018",144.963,-37.8177,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELSIS, Melbourne Campus","c(-37.813, 144.961)","ELICOS","02644C","Education Centre of Australia Pty Ltd","ECA College; The English Language School in Sydney (ELSIS)","Melbourne","No","1.1","International student data 14/01/2018",144.961,-37.813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"Endeavour College of Natural Health, Melbourne Campus","c(-37.81, 144.961)","All sectors","00231G","Australian College of Natural Medicine Pty Ltd","Endeavour College of Natural Health, College of Natural Beauty, FIAFitnation","Melbourne (Victoria)","No","0.4","International student data 14/01/2018",144.961,-37.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Royal Gurkhas Institute of Technology Australia (RGIT)","c(-37.8173, 144.965)","VET","03002G","OAKHILL EDUCATION GROUP AUSTRALIA PTY LTD","Royal Gurkhas Institute of Technology (RGIT) Australia","Royal Gurkhas Institute of Technology (RGIT) Australia, 28-32 Elizabeth Street, Melbourne VIC 3000","No","0.4","International student data 14/01/2018",144.965,-37.8173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Melbourne University, Hawthorn English Language Centre","c(-37.8373, 145.042)","All sectors","02931G","Hawthorn Learning Pty Ltd","Hawthorn-Melbourne","Hawthorn Learning Pty Ltd","No","1","International student data 14/01/2018",145.042,-37.8373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0
"Hays International College","c(-37.8319, 145.131)","VET","02790D","Hays International College Pty Ltd","Hays International College Pty Ltd, Hays International College","Hays International College Pty Ltd","No","0.9","International student data 14/01/2018",145.131,-37.8319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Heading Out Academy","c(-37.7983, 144.979)","All sectors","03394G","Benleader Pty Ltd","Victorian International Academy","Victorian International Academy, 131 Johnston Street Fitzroy","No","0.4","International student data 14/01/2018",144.979,-37.7983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"Headmasters Advanced Academy of Training","c(-37.8103, 144.972)","All sectors","01859G","Headmasters Academy Pty Ltd","Headmasters Advanced Academy Training, Beautymasters, Fashionmasters","Headmasters Academy Pty Ltd","No","0.4","International student data 14/01/2018",144.972,-37.8103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
