"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Menzies Institute of Technology, Spencer Campus","c(-37.8118699, 144.9505028)","All sectors","02815M","Menzies Institute of Technology Pty Ltd","Menzies Institute of Technology","Menzies Institute of Technology, Level 4 Spencer Street Melbourne","No","0.6","International student data 14/01/2018",144.9505028,-37.8118699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"Menzies Institute of Technology, Adderley Campus","c(-37.8109089, 144.9470756)","VET","02815M","Menzies Institute of Technology Pty Ltd","Menzies Institute of Technology","Menzies Institute of Technology, 102 Jeffcott Street Melbourne","No","0.8","International student data 14/01/2018",144.9470756,-37.8109089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0
"Melbourne Institute of Technology (Federation University), Melbourne Campus","c(-37.8102, 144.961)","Higher Education","01545C","Melbourne Institute of Technology Pty Ltd","MIT - Melbourne Institute of Technology","MIT - Melbourne Institute of Technology, 288 La Trobe St, Melbourne","No","1.3","International student data 14/01/2018",144.961,-37.8102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Monash University, Parkville Campus (Manning Building)","c(-37.7841, 144.959)","Higher Education","00008C","Monash University (Monash)","Monash University","Monash Parkville","No","0.6","International student data 14/01/2018",144.959,-37.7841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0
"Monash University English Language Centre; Monash College, City Campus","c(-37.8131, 144.967)","ELICOS","01857J","Monash College Pty Ltd","Monash University English Language Centre; Monash College","City Campus","No","1.2","International student data 14/01/2018",144.967,-37.8131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
"Monash College; Monash University English Language Centre","c(-37.9182, 145.13)","ELICOS","01857J","Monash College Pty Ltd","Monash University English Language Centre; Monash College","Monash International Pty Ltd","No","0.6","International student data 14/01/2018",145.13,-37.9182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0
"Monash International, Peninsula Campus","c(-38.1384, 145.139)","Higher Education","00008C","Monash University (Monash)","Monash University","Monash Peninsula","Yes","0.4","International student data 14/01/2018",145.139,-38.1384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,30
"Monash University, Clayton Campus","c(-37.916, 145.139)","All sectors","00008C","Monash University (Monash)","Monash University","Monash Clayton","No","1.1","International student data 14/01/2018",145.139,-37.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,30
"Monash International, Berwick Campus","c(-38.0527, 145.34)","Higher Education","00008C","Monash University (Monash)","Monash University","Monash Berwick","No","0.4","International student data 14/01/2018",145.34,-38.0527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,30
"Monash University, Caulfield Campus","c(-37.8765, 145.045)","All sectors","00008C","Monash University (Monash)","Monash University","Monash Caulfield","No","1","International student data 14/01/2018",145.045,-37.8765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,30
